domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_easy,p01.pddl,greedyResumeWalker, ,success,10668,1s_easy,10.0,1,0,86,21,132, ,10,0.02,0.01,48,72,956.0, , ,True,0,0,0,0,186,3976,372,41480,8,8,2,2,goalPredicateCount,900
depot_easy,p02.pddl,greedyResumeWalker, ,success,11068,1s_easy,16.0,1,0,174,43,327, ,16,0.05,0.01,86,180,1009.0, , ,True,0,0,0,0,96,2139,192,25590,9,9,2,2,goalPredicateCount,900
depot_easy,p03.pddl,greedyResumeWalker, ,success,12964,1s_easy,77.0,1,0,5234,1308,10740, ,77,0.47788699999999995,0.119889,132,363,1558.0, , ,True,0,0,0,27,588,423,1451,27568,9,9,2,2,goalPredicateCount,900
depot_easy,p04.pddl,greedyResumeWalker, ,success,14224,1s_easy,74.0,1,0,5182,1295,11222, ,74,0.288992,0.179981,186,544,1241.0, , ,True,0,0,0,4,176,2205,428,38362,10,11,2,2,goalPredicateCount,900
depot_easy,p07.pddl,greedyResumeWalker, ,success,12920,1s_easy,28.0,1,0,790,197,1896, ,28,0.5526422,0.0319469,156,437,1631.0, , ,True,2,1,1,29,513,335,1300,28090,11,11,2,2,goalPredicateCount,900
depot_easy,p08.pddl,greedyResumeWalker, ,success,16688,1s_easy,43.0,1,0,1902,475,5456, ,43,0.367153,0.155993,284,915,1347.0, , ,True,3,1,1,3,58,1484,131,23207,12,12,2,2,goalPredicateCount,900
depot_easy,p13.pddl,greedyResumeWalker, ,success,16020,1s_easy,28.0,1,0,426,106,1612, ,28,0.1019999,0.0200008,236,984,1049.0, , ,True,0,0,0,0,1,1945,4,29307,10,11,4,4,goalPredicateCount,900
depot_easy,p14.pddl,greedyResumeWalker, ,success,24496,1s_easy,48.0,1,0,770,192,3610, ,48,0.39192099999999996,0.0999948,404,2083,1352.0, , ,True,0,0,0,3,53,1499,118,23310,12,12,2,2,goalPredicateCount,900
depot_easy,p16.pddl,greedyResumeWalker, ,success,18200,1s_easy,31.0,1,0,818,204,5382, ,31,0.3450864,0.0599734,240,1411,1339.0, , ,True,3,1,1,7,84,879,197,25442,17,17,2,2,goalPredicateCount,900
depot_easy,p19.pddl,greedyResumeWalker, ,success,28432,1s_easy,56.0,1,0,1618,404,14343, ,56,0.502878,0.207973,388,2358,1473.0, , ,True,0,0,0,6,74,702,175,18785,15,16,2,2,goalPredicateCount,900
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10536,1s_easy,8.0,1,0,38,9,61, ,8,0.02,0.01,34,88,957.0, , ,True,0,0,0,0,0,2308,0,29998,6,7,0,0,goalPredicateCount,900
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11248,1s_easy,22.0,1,0,16922,4230,35214, ,22,0.0936824,0.0719894,41,112,1073.0, , ,True,0,0,0,4,802,148,2569,32970,8,9,3,3,goalPredicateCount,900
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10668,1s_easy,12.0,1,0,130,32,307, ,12,0.18000000000000002,0.01,46,220,1209.0, , ,True,3,1,1,100,573,180,2719,28386,7,8,4,4,goalPredicateCount,900
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11604,1s_easy,19.0,1,0,16946,4236,47445, ,19,0.2324715,0.0624715,51,234,1308.0, , ,True,0,0,0,90,627,176,2073,30326,9,10,3,2,goalPredicateCount,900
driverlog_easy,p05.pddl,greedyResumeWalker, ,success,10668,1s_easy,22.0,1,0,234,58,671, ,22,0.15000000000000002,0.01,59,256,1158.0, , ,True,0,0,0,88,685,280,2461,39236,10,10,3,3,goalPredicateCount,900
driverlog_easy,p06.pddl,greedyResumeWalker, ,success,10804,1s_easy,15.0,1,0,2122,530,7060, ,15,0.02,0.01,69,222,969.0, , ,True,0,0,0,0,1096,0,2193,39469,12,12,2,2,goalPredicateCount,900
driverlog_easy,p07.pddl,greedyResumeWalker, ,success,10800,1s_easy,17.0,1,0,94,23,349, ,17,0.09999999999999999,0.01,78,281,1078.0, , ,True,0,0,0,29,278,649,869,32442,13,13,3,3,goalPredicateCount,900
driverlog_easy,p08.pddl,greedyResumeWalker, ,success,11884,1s_easy,41.0,1,0,14014,3503,54407, ,41,0.2588632,0.0679933,84,370,1300.0, , ,True,7,3,3,100,532,159,2442,51753,15,16,4,4,goalPredicateCount,900
driverlog_easy,p09.pddl,greedyResumeWalker, ,success,11728,1s_easy,58.0,1,0,11958,2989,35493, ,58,0.1607149,0.0479374,97,410,1171.0, , ,True,2,1,1,26,338,840,1058,21539,7,7,3,3,goalPredicateCount,900
driverlog_easy,p10.pddl,greedyResumeWalker, ,success,10932,1s_easy,21.0,1,0,262,65,891, ,21,0.03,0.01,114,516,974.0, , ,True,0,0,0,0,703,156,2127,40661,12,13,3,3,goalPredicateCount,900
driverlog_easy,p11.pddl,greedyResumeWalker, ,success,11188,1s_easy,26.0,1,0,222,55,502, ,26,0.08,0.01,119,590,1053.0, , ,True,0,0,0,16,651,61,1884,21270,8,8,2,3,goalPredicateCount,900
driverlog_easy,p12.pddl,greedyResumeWalker, ,success,16248,1s_easy,41.0,1,0,49366,12341,167879, ,41,0.410429,0.367967,176,952,1370.0, , ,True,0,0,0,4,265,803,661,18916,7,7,2,2,goalPredicateCount,900
driverlog_easy,p13.pddl,greedyResumeWalker, ,success,12896,1s_easy,41.0,1,0,7594,1898,27906, ,41,0.27154,0.0959646,197,1111,1248.0, , ,True,0,0,0,35,284,284,1269,24125,11,12,4,4,goalPredicateCount,900
driverlog_easy,p14.pddl,greedyResumeWalker, ,success,13720,1s_easy,57.0,1,0,13686,3421,56091, ,57,0.285709,0.123967,195,1221,1307.0, , ,True,0,0,0,63,529,169,1836,30979,11,12,3,3,goalPredicateCount,900
driverlog_easy,p15.pddl,greedyResumeWalker, ,success,14400,1s_easy,53.0,1,0,922,230,4379, ,53,0.2839975,0.0359981,336,2611,1260.0, , ,True,0,0,0,19,174,417,550,16984,10,11,3,3,goalPredicateCount,900
driverlog_easy,p17.pddl,greedyResumeWalker, ,success,23720,1s_easy,133.0,1,0,5086,1271,39868, ,133,0.645484,0.287977,665,6208,1626.0, , ,True,0,0,0,38,194,104,755,21830,18,20,3,3,goalPredicateCount,900
freecell_easy,p01.pddl,greedyResumeWalker, ,success,12408,1s_easy,8.0,1,0,34,8,46, ,8,0.08,0.01,75,510,1027.0, , ,True,0,0,0,6,46,1225,133,19882,7,8,2,2,goalPredicateCount,900
