domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_easy,p01.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,10404,depot_walker_sameoutput,10.0,1,0,86,21,132, ,10,0.04,0.01,48,5978.0,True,True,True,0,0,0
depot_easy,p02.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,10804,depot_walker_sameoutput,16.0,1,0,174,43,327, ,16,0.061335400000000005,0.01,86,6878.0,True,True,True,0,0,0
depot_easy,p03.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,12256,depot_walker_sameoutput,51.0,1,0,1870,467,3706, ,51,0.1385837,0.067916,132,9274.0,True,True,True,0,0,0
depot_easy,p04.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,12860,depot_walker_sameoutput,80.0,1,0,4346,1086,9459, ,80,0.296578,0.168766,208,9667.0,True,True,True,0,0,0
depot_easy,p07.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,12248,depot_walker_sameoutput,30.0,1,0,342,85,772, ,30,0.1033971,0.0125906,156,9355.0,True,True,True,0,0,0
depot_easy,p08.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,16008,depot_walker_sameoutput,45.0,1,0,1642,410,4761, ,45,0.345804,0.157887,284,11707.0,True,True,True,0,0,0
depot_easy,p13.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,15756,depot_walker_sameoutput,28.0,1,0,426,106,1612, ,28,0.2483884,0.0382049,236,27253.0,True,True,True,0,0,0
depot_easy,p14.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,24056,depot_walker_sameoutput,49.0,1,0,726,181,3349, ,49,0.552536,0.1437,404,30072.0,True,True,True,0,0,0
depot_easy,p16.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,17604,depot_walker_sameoutput,34.0,1,0,718,179,4091, ,34,0.328086,0.0695324,240,18352.0,True,True,True,0,0,0
depot_easy,p19.pddl,regressor,['run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n'],success,25716,depot_walker_sameoutput,56.0,1,0,1534,383,13526, ,56,0.794241,0.355629,388,44250.0,True,True,True,0,0,0
driverlog_easy,p01.pddl,regressor,"['Rebuild plan was not valid!', 'run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n']",success,10272,depot_walker_sameoutput,8.0,1,0,38,9,61, ,8,0.03,0.01,34,4696.0,True,False,True,-8,8,0
driverlog_easy,p02.pddl,regressor,"['Rebuild plan was not valid!', 'run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n']",success,11236,depot_walker_sameoutput,21.0,1,0,21838,5459,44791, ,21,0.120077,0.0965338,41,6496.0,True,False,True,-21,21,0
driverlog_easy,p03.pddl,regressor,"['Rebuild plan was not valid!', 'run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n']",success,10272,depot_walker_sameoutput,15.0,1,0,130,32,226, ,15,0.03,0.01,41,6172.0,True,False,True,-15,15,0
driverlog_easy,p04.pddl,regressor,"['Rebuild plan was not valid!', 'run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n']",success,11320,depot_walker_sameoutput,25.0,1,0,17982,4495,48198, ,25,0.1014759,0.0889015,51,8228.0,True,False,True,-25,25,0
driverlog_easy,p05.pddl,regressor,"['Rebuild plan was not valid!', 'run.err: sh: 1: ../../P7Requirements/downward/builds/release/bin/translate/translate.py: not found\nsh: 1: cannot open output.sas: No such file\n']",success,10404,depot_walker_sameoutput,22.0,1,0,238,59,678, ,22,0.04,0.01,59,7689.0,True,False,True,-22,22,0
