domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
depot_easy,p01.pddl,greedyResumeWalker, ,success,10944,1s_easy,9.0,1,0,50,12,150, ,9,0.34,0.01,58,91902.0,True,True,True,1,1,1,90,181450,3036456,3,5,3,3
depot_easy,p02.pddl,greedyResumeWalker, ,success,11200,1s_easy,15.0,1,0,114,28,261, ,15,0.17,0.01,100,91295.0,True,True,True,1,1,1,51,182182,3047990,3,5,3,3
depot_easy,p03.pddl,greedyResumeWalker, ,success,12848,1s_easy,69.0,1,0,5206,1301,11386, ,69,0.8299887,0.0959885,150,96883.0,True,True,True,9,3,3,100,97864,2344235,3,3,2,2
depot_easy,p04.pddl,greedyResumeWalker, ,success,14276,1s_easy,43.0,1,0,1210,302,3295, ,43,1.150276,0.0759977,186,95438.0,True,True,True,13,2,2,100,132604,2325816,3,5,2,3
depot_easy,p07.pddl,greedyResumeWalker, ,success,13224,1s_easy,30.0,1,0,314,78,707, ,30,3.7079131,0.01,156,105572.0,True,True,True,0,0,0,100,93970,3022949,5,5,4,4
depot_easy,p08.pddl,greedyResumeWalker, ,success,15728,1s_easy,46.0,1,0,1414,353,4114, ,46,2.04571,0.0679981,310,125281.0,True,True,True,0,0,0,100,55895,3206068,7,8,6,5
depot_easy,p13.pddl,greedyResumeWalker, ,success,14564,1s_easy,27.0,1,0,322,80,1477, ,27,1.2279986999999999,0.0119996,278,98639.0,True,True,True,0,0,0,100,57108,2646983,10,12,3,3
depot_easy,p14.pddl,greedyResumeWalker, ,success,19120,1s_easy,45.0,1,0,898,224,4185, ,45,1.000411,0.0599983,466,100420.0,True,True,True,0,0,0,100,25471,2513894,12,14,6,5
depot_easy,p16.pddl,greedyResumeWalker, ,success,18140,1s_easy,38.0,1,0,566,141,3270, ,38,1.2951678,0.0479991,240,95373.0,True,True,True,0,0,0,100,28337,2504700,14,15,5,5
depot_easy,p19.pddl,greedyResumeWalker, ,success,19712,1s_easy,58.0,1,0,2146,536,19011, ,58,1.125985,0.147986,476,100347.0,True,True,True,0,0,0,100,30743,2230993,11,13,5,5
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10668,1s_easy,6.0,1,0,30,7,149, ,6,0.16,0.01,34,90884.0,True,True,True,2,1,1,100,179693,7096427,7,7,2,3
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11472,1s_easy,24.0,1,0,19738,4934,42090, ,24,0.3419979,0.0719979,41,91635.0,True,True,True,0,0,0,100,161808,5987589,8,9,2,2
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10668,1s_easy,15.0,1,0,126,31,233, ,15,0.29000000000000004,0.01,46,102749.0,True,True,True,0,0,0,100,150195,6647562,7,8,3,3
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11600,1s_easy,25.0,1,0,18066,4516,48505, ,25,0.0758311,0.0558311,51,90602.0,True,True,True,0,0,0,4,165800,6624540,9,10,2,3
