domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_easy,p01.pddl,greedyResumeWalker, ,success,10672,1s_easy,9.0,1,0,74,18,234, ,9,0.06999999999999999,0.01,48,106,1042.0, , ,True,1,1,1,34,222,4000,794,41240,8,8,3,3,goalPredicateCount,900
depot_easy,p02.pddl,greedyResumeWalker, ,success,11196,1s_easy,14.0,1,0,122,30,242, ,14,0.09999999999999999,0.01,86,187,1089.0, , ,True,2,1,1,7,152,2062,353,26181,9,9,2,2,goalPredicateCount,900
depot_easy,p03.pddl,greedyResumeWalker, ,success,12780,1s_easy,37.0,1,0,918,229,3465, ,37,0.7778282,0.0199992,132,431,1940.0, , ,True,5,2,2,95,603,557,2494,37269,9,9,4,3,goalPredicateCount,900
depot_easy,p04.pddl,greedyResumeWalker, ,success,14228,1s_easy,61.0,1,0,2590,647,5922, ,61,0.4878538,0.0879972,186,640,1564.0, , ,True,7,4,4,100,453,505,1858,29197,9,9,4,3,goalPredicateCount,900
depot_easy,p07.pddl,greedyResumeWalker, ,success,12796,1s_easy,48.0,1,0,1194,298,2613, ,48,0.2839938,0.0519949,156,421,1281.0, , ,True,4,2,2,13,204,1707,605,29194,10,10,2,3,goalPredicateCount,900
depot_easy,p08.pddl,greedyResumeWalker, ,success,16900,1s_easy,50.0,1,0,990,247,2928, ,50,0.8539215,0.0599347,284,1008,2225.0, , ,True,3,1,1,96,505,107,1909,31650,12,12,3,3,goalPredicateCount,900
depot_easy,p13.pddl,greedyResumeWalker, ,success,16020,1s_easy,28.0,1,0,426,106,1612, ,28,0.1552645,0.0319999,236,984,1107.0, , ,True,0,0,0,0,6,1701,22,25586,10,11,3,3,goalPredicateCount,900
depot_easy,p14.pddl,greedyResumeWalker, ,success,24536,1s_easy,49.0,1,0,858,214,4031, ,49,0.36644,0.143993,404,2082,1322.0, , ,True,0,0,0,2,76,1394,170,22819,12,12,2,2,goalPredicateCount,900
depot_easy,p16.pddl,greedyResumeWalker, ,success,17844,1s_easy,37.0,1,0,638,159,3645, ,37,0.397511,0.0679625,240,1421,1403.0, , ,True,1,1,1,17,207,86,1340,30138,17,18,6,5,goalPredicateCount,900
depot_easy,p19.pddl,greedyResumeWalker, ,success,27368,1s_easy,56.0,1,0,1670,417,14903, ,56,0.6959690000000001,0.343976,388,2359,1677.0, , ,True,0,0,0,7,152,32,1138,20617,15,15,7,5,goalPredicateCount,900
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10536,1s_easy,8.0,1,0,38,9,61, ,8,0.02,0.01,34,88,962.0, , ,True,0,0,0,0,0,3302,0,42920,6,7,0,0,goalPredicateCount,900
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11512,1s_easy,21.0,1,0,21866,5466,45164, ,21,0.076453,0.066453,41,111,1038.0, , ,True,0,0,0,3,1259,214,2977,41946,8,9,2,2,goalPredicateCount,900
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10668,1s_easy,15.0,1,0,126,31,276, ,15,0.17,0.01,46,220,1218.0, , ,True,0,0,0,100,727,91,2777,28221,7,8,3,3,goalPredicateCount,900
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11600,1s_easy,19.0,1,0,16902,4225,47347, ,19,0.2755248,0.0555248,51,228,1356.0, , ,True,0,0,0,84,731,171,2337,33910,9,10,3,2,goalPredicateCount,900
driverlog_easy,p05.pddl,greedyResumeWalker, ,success,10668,1s_easy,22.0,1,0,234,58,671, ,22,0.16,0.01,59,268,1218.0, , ,True,0,0,0,100,554,141,2206,32084,10,10,3,3,goalPredicateCount,900
driverlog_easy,p06.pddl,greedyResumeWalker, ,success,10804,1s_easy,15.0,1,0,2122,530,7060, ,15,0.02,0.01,69,222,976.0, , ,True,0,0,0,0,1235,1,2471,44485,12,12,2,2,goalPredicateCount,900
driverlog_easy,p07.pddl,greedyResumeWalker, ,success,10800,1s_easy,17.0,1,0,94,23,299, ,17,0.06999999999999999,0.01,78,272,1058.0, , ,True,0,0,0,20,438,439,1182,33971,13,14,2,2,goalPredicateCount,900
driverlog_easy,p08.pddl,greedyResumeWalker, ,success,11608,1s_easy,31.0,1,0,8526,2131,34376, ,31,0.3939653,0.0639266,84,370,1502.0, , ,True,3,1,1,100,320,50,1722,33682,15,16,5,5,goalPredicateCount,900
driverlog_easy,p09.pddl,greedyResumeWalker, ,success,11720,1s_easy,58.0,1,0,11958,2989,35497, ,58,0.1552059,0.0552059,97,413,1142.0, , ,True,2,1,1,29,369,974,1153,24286,7,7,3,3,goalPredicateCount,900
driverlog_easy,p10.pddl,greedyResumeWalker, ,success,10932,1s_easy,22.0,1,0,266,66,780, ,22,0.04,0.01,114,518,988.0, , ,True,0,0,0,2,8,1570,29,33335,10,10,3,2,goalPredicateCount,900
driverlog_easy,p11.pddl,greedyResumeWalker, ,success,11064,1s_easy,27.0,1,0,290,72,975, ,27,0.09,0.01,119,589,1093.0, , ,True,0,0,0,15,682,51,1767,21435,8,8,2,2,goalPredicateCount,900
driverlog_easy,p12.pddl,greedyResumeWalker, ,success,16248,1s_easy,41.0,1,0,49366,12341,167879, ,41,0.410998,0.367909,176,952,1372.0, , ,True,0,0,0,4,259,774,657,18420,7,7,2,3,goalPredicateCount,900
