domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,translator_operators,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_invalid_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
driverlog_hard,p16.pddl,greedyResumeWalker, ,success,291096,100s_hard,151.0,1,0,1840690,460172,12315954, ,151,106.655,106.33,500,4910,197389.0, , ,True,3,1,1,20,11537,38460,30372,2309209,19,21,2,2,goalPredicateCount,90000
driverlog_hard,p18.pddl,greedyResumeWalker, ,success,73348,100s_hard,179.0,1,0,246562,61640,1911702, ,179,24.3902,23.9149,875,8780,117517.0, , ,True,0,0,0,20,13151,5245,64378,1610700,18,19,4,4,goalPredicateCount,90000
driverlog_hard,p19.pddl,greedyResumeWalker, ,success,65584,100s_hard,291.0,1,0,199902,49975,1432158, ,291,15.241299999999999,14.5874,1050,10030,105417.0, , ,True,0,0,0,20,8306,28411,18861,1711451,20,21,2,2,goalPredicateCount,90000
driverlog_hard,p20.pddl,greedyResumeWalker, ,success,71536,100s_hard,192.0,1,0,99246,24811,1435028, ,192,33.6386,32.4505,1276,15476,123961.0, , ,True,0,0,0,20,8656,19213,21872,1729424,25,26,2,2,goalPredicateCount,90000
freecell_hard,p13.pddl,greedyResumeWalker, ,success,66632,100s_hard,85.0,1,36,7338,1825,10179, ,85,6.603400000000001,4.3634,369,12548,100130.0, , ,True,4,1,1,20,5967,48,93688,753724,7,9,15,15,goalPredicateCount,90000
freecell_hard,p15.pddl,greedyResumeWalker, ,success,93756,100s_hard,89.0,1,6,2876,717,4933, ,89,5.69186,2.81987,407,16184,98843.0, , ,True,0,0,0,20,4847,0,72203,560525,7,8,14,14,goalPredicateCount,90001
freecell_hard,p16.pddl,greedyResumeWalker, ,success,93564,100s_hard,81.0,1,28,2434,601,4022, ,81,4.3497,2.12391,407,16132,97223.0, , ,True,4,1,1,20,4720,0,81278,663855,7,9,17,16,goalPredicateCount,90000
freecell_hard,p18.pddl,greedyResumeWalker, ,success,110956,100s_hard,111.0,1,1222,30576,7338,34459, ,111,52.968999999999994,44.889,446,20468,145404.0, , ,True,0,0,0,20,5565,1,71472,459864,5,7,12,12,goalPredicateCount,90000
freecell_hard,probfreecell-10-1.pddl,greedyResumeWalker, ,success,107908,100s_hard,80.0,1,19,1177,289,2089, ,80,16.063650000000003,1.84792,376,19387,108494.0, , ,True,10,1,1,20,7038,0,79341,455594,5,6,11,10,goalPredicateCount,90001
freecell_hard,probfreecell-10-4.pddl,greedyResumeWalker, ,success,106376,100s_hard,78.0,1,19,3881,965,6851, ,78,6.631500000000001,3.83152,375,19359,98914.0, , ,True,5,1,1,20,5979,381,61193,604639,8,10,10,7,goalPredicateCount,90000
freecell_hard,probfreecell-11-2.pddl,greedyResumeWalker, ,success,110492,100s_hard,60.0,1,3,665,165,1178, ,60,6.842499,0.723901,411,21366,100412.0, , ,True,8,1,1,20,4736,0,76443,493867,6,7,16,14,goalPredicateCount,90001
freecell_hard,probfreecell-11-4.pddl,greedyResumeWalker, ,success,111284,100s_hard,111.0,1,23,6989,1741,11415, ,111,15.4256,8.71961,411,21353,107324.0, , ,True,0,0,0,10,4753,0,74100,520211,6,8,15,14,goalPredicateCount,90000
freecell_hard,probfreecell-11-5.pddl,greedyResumeWalker, ,success,117256,100s_hard,155.0,1,1788,93558,22942,99973, ,155,116.432,111.141,412,21392,208077.0, , ,True,0,0,0,20,5569,0,76539,519351,6,7,13,13,goalPredicateCount,90000
freecell_hard,probfreecell-12-2.pddl,greedyResumeWalker, ,success,117104,100s_hard,75.0,1,30,9684,2413,13960, ,75,22.3125,15.8272,447,23370,115256.0, , ,True,12,2,2,20,4291,0,68960,432372,5,7,16,14,goalPredicateCount,90000
freecell_hard,probfreecell-12-4.pddl,greedyResumeWalker, ,success,122348,100s_hard,142.0,1,802,16336,3883,18503, ,142,25.1737,18.819,448,23396,116572.0, , ,True,7,1,1,20,5685,0,79617,528539,6,7,14,13,goalPredicateCount,90000
freecell_hard,probfreecell-13-1.pddl,greedyResumeWalker, ,success,135056,100s_hard,134.0,1,15093,210447,48838,229420, ,134,369.62,353.65,484,25399,461428.0, , ,True,0,0,0,20,7823,0,72679,372785,4,6,9,8,goalPredicateCount,90000
freecell_hard,probfreecell-13-3.pddl,greedyResumeWalker, ,success,122696,100s_hard,96.0,1,92,1886,448,2354, ,96,11.529309999999999,5.34775,483,25370,103901.0, , ,True,5,1,1,20,4278,0,65524,436532,6,7,15,14,goalPredicateCount,90000
freecell_hard,probfreecell-13-4.pddl,greedyResumeWalker, ,success,125836,100s_hard,147.0,1,130,16376,4061,19506, ,147,55.5775,41.0543,483,25372,148017.0, , ,True,0,0,0,19,5139,0,68671,433303,5,7,13,13,goalPredicateCount,90000
freecell_hard,probfreecell-9-5.pddl,greedyResumeWalker, ,success,100860,100s_hard,74.0,1,3,3361,839,7376, ,74,7.00869,4.19576,340,17386,98773.0, , ,True,6,2,2,20,4297,0,80062,768677,9,10,18,17,goalPredicateCount,90001
logistics_hard,p05.pddl,greedyResumeWalker, ,success,64944,100s_hard,168.0,1,0,9194,2298,930638, ,168,4.43785,2.63586,5168,19844,94640.0, , ,True,0,0,0,20,1934,246,13695,369728,23,23,7,6,goalPredicateCount,90000
logistics_hard,p06.pddl,greedyResumeWalker, ,success,111588,100s_hard,204.0,1,0,17354,4338,2177930, ,204,8.40886,6.68368,7192,27740,98572.0, , ,True,0,0,0,20,1467,178,11657,349685,26,26,7,6,goalPredicateCount,90004
logistics_hard,p07.pddl,greedyResumeWalker, ,success,149744,100s_hard,229.0,1,0,23718,5929,3385253, ,229,13.684999999999999,11.5312,9182,35840,103820.0, , ,True,0,0,0,20,1063,112,9127,298688,28,29,8,7,goalPredicateCount,90001
logistics_hard,p08.pddl,greedyResumeWalker, ,success,189628,100s_hard,264.0,1,0,25154,6288,4203425, ,264,30.7981,27.4628,12434,48552,120961.0, , ,True,0,0,0,20,1097,115,8571,286754,29,29,7,7,goalPredicateCount,90004
logistics_hard,p09.pddl,greedyResumeWalker, ,success,298164,100s_hard,307.0,1,0,46070,11517,8637861, ,307,80.92569999999999,77.5681,15065,59939,171089.0, , ,True,0,0,0,11,864,94,7396,260617,31,31,8,7,goalPredicateCount,90005
satellite_hard,p28-HC-pfile8.pddl,greedyResumeWalker, ,success,191556,100s_hard,194.0,1,0,998,249,269674, ,194,6.03192,1.15595,1352,110423,101242.0, , ,True,0,0,0,20,14168,1165,113134,1834453,14,14,7,6,goalPredicateCount,90000
satellite_hard,p29-HC-pfile9.pddl,greedyResumeWalker, ,success,304208,100s_hard,198.0,1,0,11582,2895,4639401, ,198,19.3232,12.1674,1891,164773,112795.0, , ,True,0,0,0,20,10997,987,89846,1465512,14,14,8,6,goalPredicateCount,90000
satellite_hard,p30-HC-pfile10.pddl,greedyResumeWalker, ,success,473820,100s_hard,290.0,1,0,19878,4969,9489527, ,290,67.4936,51.0536,2245,233817,161322.0, , ,True,0,0,0,20,8974,780,74074,1209889,14,14,8,6,goalPredicateCount,90000
satellite_hard,p31-HC-pfile11.pddl,greedyResumeWalker, ,success,817000,100s_hard,290.0,1,0,8986,2246,5293223, ,290,49.8479,32.1859,2735,359990,142671.0, , ,True,0,0,0,20,7956,705,66159,1079393,14,14,8,6,goalPredicateCount,90000
satellite_hard,p34-HC-pfile14.pddl,greedyResumeWalker, ,success,737844,100s_hard,287.0,1,0,1150,287,296862, ,287,13.42217,2.11991,1343,209577,106931.0, , ,True,0,0,0,20,16138,1415,103768,1442924,11,12,6,5,goalPredicateCount,90000
satellite_hard,p35-HC-pfile15.pddl,greedyResumeWalker, ,success,1038240,100s_hard,384.0,1,0,2170,542,892492, ,384,20.63317,6.11971,2088,336020,112496.0, , ,True,0,0,0,20,10155,926,80220,1278117,13,14,7,6,goalPredicateCount,90000
satellite_hard,p36-HC-pfile16.pddl,greedyResumeWalker, ,success,1039928,100s_hard,362.0,1,0,1722,430,887251, ,362,28.02919,7.11943,2512,419955,119871.0, , ,True,0,0,0,20,8755,768,71752,1163274,14,14,8,6,goalPredicateCount,90000
zenotravel_hard,p15.pddl,greedyResumeWalker, ,success,21116,100s_hard,46.0,1,0,966,241,8283, ,46,1.357672,0.131996,665,10100,100088.0, , ,True,0,0,0,20,25551,7797,126696,3018971,17,19,4,4,goalPredicateCount,90000
zenotravel_hard,p16.pddl,greedyResumeWalker, ,success,28424,100s_hard,54.0,1,0,950,237,18175, ,54,1.595675,0.139996,390,13320,97458.0, , ,True,0,0,0,20,25146,17282,106285,2359603,14,12,4,3,goalPredicateCount,90000
zenotravel_hard,p17.pddl,greedyResumeWalker, ,success,29216,100s_hard,81.0,1,0,2970,742,47376, ,81,2.164977,0.835967,1035,17780,96326.0, , ,True,0,0,0,20,19533,13592,89733,1956727,14,12,4,3,goalPredicateCount,90000
zenotravel_hard,p18.pddl,greedyResumeWalker, ,success,33576,100s_hard,89.0,1,0,3758,939,49528, ,89,2.9419,0.85991,1135,21980,98502.0, , ,True,0,0,0,20,18576,4866,105116,2067663,15,16,5,4,goalPredicateCount,90000
zenotravel_hard,p19.pddl,greedyResumeWalker, ,success,47848,100s_hard,90.0,1,0,2878,719,27677, ,90,2.917742,0.72397,760,27620,96672.0, , ,True,0,0,0,20,15765,3643,96018,2227615,18,18,6,5,goalPredicateCount,90000
zenotravel_hard,p20.pddl,greedyResumeWalker, ,success,56948,100s_hard,105.0,1,0,6026,1506,92526, ,105,3.3945800000000004,1.71993,820,32800,97816.0, , ,True,0,0,0,20,11749,1398,99287,1996706,17,20,8,6,goalPredicateCount,90000
driverlog_hard,p16.pddl,greedyWalker, ,success,373496,100s_hard,194.0,1,0,2501118,625279,16048130, ,194,136.132,135.421,500,4910,229965.0, , ,True,4,1,1,20,12113,820,105776,1720439,14,14,8,7,goalPredicateCount,90000
driverlog_hard,p18.pddl,greedyWalker, ,success,36944,100s_hard,134.0,1,0,49526,12381,378274, ,134,5.597729999999999,4.97573,825,8380,97571.0, , ,True,3,1,1,20,7096,513,88562,1374313,14,13,12,9,goalPredicateCount,90001
driverlog_hard,p19.pddl,greedyWalker, ,success,64032,100s_hard,304.0,1,0,196366,49091,1444434, ,304,20.8264,19.2227,1050,10030,113069.0, , ,True,5,1,1,20,11981,1488,74272,1374570,15,15,6,5,goalPredicateCount,90000
driverlog_hard,p20.pddl,greedyWalker, ,success,47264,100s_hard,169.0,1,0,13394,3348,185606, ,169,3.60356,2.72786,1276,15476,95153.0, , ,True,3,1,1,20,5794,661,62474,1393411,20,20,10,8,goalPredicateCount,90000
freecell_hard,p13.pddl,greedyWalker, ,success,66884,100s_hard,87.0,1,5,2583,644,3562, ,87,7.024900000000001,3.55184,369,12548,99720.0, , ,True,6,1,1,20,5169,48,81357,657929,7,9,15,15,goalPredicateCount,90000
freecell_hard,p15.pddl,greedyWalker, ,success,93468,100s_hard,82.0,1,4,2766,690,4709, ,82,4.83852,2.55182,407,16184,96659.0, , ,True,3,1,1,20,4732,0,70889,552845,7,8,14,14,goalPredicateCount,90000
freecell_hard,p16.pddl,greedyWalker, ,success,94580,100s_hard,75.0,1,13,3563,887,6342, ,75,7.28578,3.7278,407,16132,99675.0, , ,True,8,2,2,20,4763,0,82256,674100,7,9,17,16,goalPredicateCount,90000
freecell_hard,p18.pddl,greedyWalker, ,success,108648,100s_hard,110.0,1,876,21814,5234,24813, ,110,36.2226,31.0499,446,20468,128114.0, , ,True,4,1,1,20,5939,1,76978,495511,5,7,12,12,goalPredicateCount,90000
freecell_hard,probfreecell-10-1.pddl,greedyWalker, ,success,105828,100s_hard,69.0,1,16,1502,371,2292, ,69,14.475330000000001,1.91192,376,19387,105936.0, , ,True,13,1,1,20,7105,0,79570,459260,5,6,11,10,goalPredicateCount,90001
freecell_hard,probfreecell-10-4.pddl,greedyWalker, ,success,105900,100s_hard,105.0,1,79,3625,886,4436, ,105,13.461500000000001,8.03558,375,19359,106374.0, , ,True,5,1,1,20,4020,0,72548,622093,8,9,18,16,goalPredicateCount,90000
