domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_steps,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length,walker_heuristic,walker_total_time
depot_easy,p01.pddl,greedyResumeWalker, ,success,10668,1s_easy,9.0,1,0,102,25,184, ,9,0.12,0.01,58,1140.0, , ,True,6,2,2,20,949,3031,23453,4,5,3,3,goalPredicateCount,900
depot_easy,p02.pddl,greedyResumeWalker, ,success,11208,1s_easy,16.0,1,0,122,30,261, ,16,0.26,0.01,100,1311.0, , ,True,4,1,1,20,824,2732,23204,5,6,3,3,goalPredicateCount,900
depot_easy,p03.pddl,greedyResumeWalker, ,success,11996,1s_easy,37.0,1,0,814,203,1853, ,37,0.1798377,0.0199997,150,1213.0, , ,True,2,1,1,20,536,3542,29509,7,7,6,6,goalPredicateCount,900
depot_easy,p04.pddl,greedyResumeWalker, ,success,14012,1s_easy,52.0,1,0,2354,588,5533, ,52,0.2847829,0.0759975,186,1300.0, , ,True,4,1,1,20,936,2921,22317,4,5,3,3,goalPredicateCount,900
depot_easy,p07.pddl,greedyResumeWalker, ,success,12828,1s_easy,27.0,1,0,554,138,1274, ,27,0.5975904999999999,0.0159918,156,1660.0, , ,True,0,0,0,20,699,2739,20991,4,5,3,3,goalPredicateCount,900
depot_easy,p08.pddl,greedyResumeWalker, ,success,14968,1s_easy,54.0,1,0,3470,867,10215, ,54,0.47237700000000005,0.183989,310,1506.0, , ,True,3,1,1,20,493,2507,24659,7,8,5,4,goalPredicateCount,900
depot_easy,p13.pddl,greedyResumeWalker, ,success,14128,1s_easy,29.0,1,0,442,110,2170, ,29,0.2432582,0.0239994,278,1252.0, , ,True,0,0,0,20,420,1550,21533,9,10,3,3,goalPredicateCount,900
depot_easy,p14.pddl,greedyResumeWalker, ,success,19068,1s_easy,43.0,1,0,1402,350,7372, ,43,0.399996,0.111997,466,1375.0, , ,True,1,1,1,17,251,1595,25030,12,13,6,5,goalPredicateCount,900
depot_easy,p16.pddl,greedyResumeWalker, ,success,15680,1s_easy,37.0,1,0,634,158,3789, ,37,0.2829989,0.0359988,274,1287.0, , ,True,0,0,0,11,174,1621,27410,14,14,9,5,goalPredicateCount,900
depot_easy,p19.pddl,greedyResumeWalker, ,success,19328,1s_easy,55.0,1,0,1598,399,13968, ,55,0.305991,0.107997,476,1262.0, , ,True,0,0,0,1,115,1333,22242,15,15,11,9,goalPredicateCount,900
