domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_easy,p01.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,2115.0, , ,False, , , 
depot_easy,p02.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1484.0, , ,False, , , 
depot_easy,p03.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1106.0, , ,False, , , 
depot_easy,p04.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1320.0, , ,False, , , 
depot_easy,p07.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1617.0, , ,False, , , 
depot_easy,p08.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1535.0, , ,False, , , 
depot_easy,p13.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,847.0, , ,False, , , 
depot_easy,p14.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,620.0, , ,False, , , 
depot_easy,p16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,659.0, , ,False, , , 
depot_easy,p19.pddl,greedyResumeWalker, ,success,25920,experiment_1,56.0,1,0,1534,383,13526, ,56,0.603091,0.367993,388,1226.0,True,True,True,0,0,0
driverlog_easy,p01.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,2246.0, , ,False, , , 
driverlog_easy,p02.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1937.0, , ,False, , , 
driverlog_easy,p03.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1846.0, , ,False, , , 
driverlog_easy,p04.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,2070.0, , ,False, , , 
driverlog_easy,p05.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1224.0, , ,False, , , 
driverlog_easy,p06.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1600.0, , ,False, , , 
driverlog_easy,p07.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_1, , , , , , , , , , , ,1320.0, , ,False, , , 
