domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_easy,p01.pddl,greedyResumeWalker, ,success,10956,experiment_1,8.0,1,0,50,12,192, ,8,0.28,0.01,58,4655.0,True,True,True,4,1,100
depot_easy,p02.pddl,greedyResumeWalker, ,success,11228,experiment_1,15.0,1,0,134,33,456, ,15,0.34,0.01,100,3430.0,True,True,True,5,2,100
depot_easy,p03.pddl,greedyResumeWalker, ,success,12284,experiment_1,37.0,1,0,646,161,1833, ,37,0.4012998,0.0200354,150,2923.0,True,True,True,5,2,92
depot_easy,p04.pddl,greedyResumeWalker, ,success,13260,experiment_1,56.0,1,0,1854,463,4675, ,56,0.6699358,0.075999,208,3352.0,True,True,True,4,2,100
depot_easy,p07.pddl,greedyResumeWalker, ,success,12452,experiment_1,26.0,1,0,1306,326,3875, ,26,0.8400174,0.0399994,174,4287.0,True,True,True,2,1,100
depot_easy,p08.pddl,greedyResumeWalker, ,success,16452,experiment_1,37.0,1,0,782,195,2364, ,37,1.2566159,0.0599686,284,4144.0,True,True,True,0,0,100
depot_easy,p13.pddl,greedyResumeWalker, ,success,14488,experiment_1,24.0,1,0,250,62,1375, ,24,0.4748696,0.01,278,3034.0,True,True,True,3,1,92
depot_easy,p14.pddl,greedyResumeWalker, ,success,24252,experiment_1,49.0,1,0,726,181,3453, ,49,0.454882,0.127971,404,1817.0,True,True,True,0,0,1
depot_easy,p16.pddl,greedyResumeWalker, ,success,15936,experiment_1,38.0,1,0,614,153,3631, ,38,0.4039988,0.0279991,274,2107.0,True,True,True,2,1,64
depot_easy,p19.pddl,greedyResumeWalker, ,success,25920,experiment_1,56.0,1,0,1534,383,13526, ,56,0.624575,0.316,388,1761.0,True,True,True,0,0,0
driverlog_easy,p01.pddl,greedyResumeWalker, ,success,10536,experiment_1,6.0,1,0,30,7,75, ,6,0.06999999999999999,0.01,34,3368.0,True,True,True,2,1,20
driverlog_easy,p02.pddl,greedyResumeWalker, ,success,11388,experiment_1,24.0,1,0,19738,4934,41242, ,24,0.0745925,0.0545925,41,2274.0,True,True,True,0,0,4
driverlog_easy,p03.pddl,greedyResumeWalker, ,success,10676,experiment_1,15.0,1,0,130,32,240, ,15,0.18000000000000002,0.01,46,3512.0,True,True,True,0,0,100
driverlog_easy,p04.pddl,greedyResumeWalker, ,success,11600,experiment_1,23.0,1,0,17754,4438,47682, ,23,0.0759901,0.0559901,51,2200.0,True,True,True,0,0,8
driverlog_easy,p05.pddl,greedyResumeWalker, ,success,10800,experiment_1,22.0,1,0,310,77,903, ,22,0.19,0.01,59,2961.0,True,True,True,0,0,100
driverlog_easy,p06.pddl,greedyResumeWalker, ,success,10800,experiment_1,11.0,1,0,54,13,189, ,11,0.09,0.01,69,3772.0,True,True,True,2,1,53
driverlog_easy,p07.pddl,greedyResumeWalker, ,success,10804,experiment_1,18.0,1,0,1798,449,6345, ,18,0.1059032,0.0159032,78,3380.0,True,True,True,0,0,44
driverlog_easy,p08.pddl,greedyResumeWalker, ,success,12448,experiment_1,25.0,1,0,20494,5123,80756, ,25,0.2307303,0.0879809,84,2304.0,True,True,True,0,0,98
driverlog_easy,p09.pddl,greedyResumeWalker, ,success,11320,experiment_1,49.0,1,0,4850,1212,13521, ,49,0.06598799999999999,0.0319881,97,3000.0,True,True,True,0,0,4
driverlog_easy,p10.pddl,greedyResumeWalker, ,success,11064,experiment_1,21.0,1,0,270,67,926, ,21,0.13,0.01,114,2273.0,True,True,True,0,0,54
driverlog_easy,p11.pddl,greedyResumeWalker, ,success,11328,experiment_1,30.0,1,0,346,86,1254, ,30,0.2,0.01,129,2801.0,True,True,True,0,0,80
driverlog_easy,p12.pddl,greedyResumeWalker, ,success,16360,experiment_1,41.0,1,0,49374,12343,167923, ,41,0.515621,0.459979,176,1786.0,True,True,True,0,0,2
driverlog_easy,p13.pddl,greedyResumeWalker, ,success,12920,experiment_1,41.0,1,0,7594,1898,28679, ,41,0.329061,0.115897,197,2420.0,True,True,True,0,0,46
driverlog_easy,p14.pddl,greedyResumeWalker, ,success,12168,experiment_1,42.0,1,0,506,126,1599, ,42,0.1219866,0.01,195,1869.0,True,True,True,0,0,33
driverlog_easy,p15.pddl,greedyResumeWalker, ,success,14276,experiment_1,53.0,1,0,926,231,4235, ,53,0.21458929999999998,0.0279994,336,1663.0,True,True,True,0,0,0
driverlog_easy,p17.pddl,greedyResumeWalker, ,success,23072,experiment_1,126.0,1,0,4714,1178,37804, ,126,0.575417,0.323922,665,1738.0,True,True,True,0,0,1
freecell_easy,p01.pddl,greedyResumeWalker, ,success,12416,experiment_1,8.0,1,0,34,8,48, ,8,0.1544375,0.01,75,3095.0,True,True,True,0,0,9
freecell_easy,p02.pddl,greedyResumeWalker, ,success,15432,experiment_1,14.0,1,0,58,14,102, ,14,0.5658043,0.01,112,2315.0,True,True,True,0,0,56
freecell_easy,p03.pddl,greedyResumeWalker, ,success,17288,experiment_1,21.0,1,0,166,41,317, ,21,1.0705214,0.0239928,146,3543.0,True,True,True,0,0,51
freecell_easy,p04.pddl,greedyResumeWalker, ,success,20300,experiment_1,26.0,1,0,294,73,623, ,26,1.4259885,0.0439988,180,3559.0,True,True,True,12,2,83
freecell_easy,p05.pddl,greedyResumeWalker, ,success,24076,experiment_1,29.0,1,1,243,60,423, ,29,1.6529713000000001,0.0559792,220,4178.0,True,True,True,4,1,97
freecell_easy,p06.pddl,greedyResumeWalker, ,success,34932,experiment_1,38.0,1,1,295,73,604, ,38,3.59571,0.112,255,14866.0,True,True,True,7,1,100
freecell_easy,p07.pddl,greedyResumeWalker, ,success,35256,experiment_1,58.0,1,0,642,160,980, ,58,3.375981,0.211998,259,15299.0,True,True,True,4,1,100
freecell_easy,probfreecell-2-1.pddl,greedyResumeWalker, ,success,24300,experiment_1,9.0,1,0,38,9,54, ,9,0.5374968,0.01,92,2263.0,True,True,True,0,0,41
freecell_easy,probfreecell-2-2.pddl,greedyResumeWalker, ,success,23464,experiment_1,8.0,1,0,34,8,99, ,8,0.545014,0.01,91,2365.0,True,True,True,0,0,74
freecell_easy,probfreecell-2-3.pddl,greedyResumeWalker, ,success,23988,experiment_1,8.0,1,0,34,8,55, ,8,0.7734198,0.01,92,2431.0,True,True,True,0,0,90
freecell_easy,probfreecell-2-4.pddl,greedyResumeWalker, ,success,24332,experiment_1,8.0,1,0,34,8,67, ,8,0.7150348000000001,0.01,90,2550.0,True,True,True,0,0,62
freecell_easy,probfreecell-2-5.pddl,greedyResumeWalker, ,success,23936,experiment_1,9.0,1,0,38,9,65, ,9,0.5452512,0.01,92,2279.0,True,True,True,0,0,48
freecell_easy,probfreecell-3-1.pddl,greedyResumeWalker, ,success,34792,experiment_1,14.0,1,0,58,14,117, ,14,1.1985080000000001,0.0280005,125,3179.0,True,True,True,0,0,54
freecell_easy,probfreecell-3-2.pddl,greedyResumeWalker, ,success,34984,experiment_1,13.0,1,0,54,13,146, ,13,0.881978,0.0160005,124,2565.0,True,True,True,0,0,53
freecell_easy,probfreecell-3-3.pddl,greedyResumeWalker, ,success,34152,experiment_1,13.0,1,0,54,13,139, ,13,0.6114206,0.0160002,126,2174.0,True,True,True,0,0,42
freecell_easy,probfreecell-3-4.pddl,greedyResumeWalker, ,success,35084,experiment_1,12.0,1,0,50,12,137, ,12,0.8241226,0.0159998,125,2540.0,True,True,True,0,0,74
freecell_easy,probfreecell-3-5.pddl,greedyResumeWalker, ,success,35104,experiment_1,13.0,1,0,54,13,120, ,13,1.023471,0.0239998,124,2565.0,True,True,True,0,0,48
gripper,prob01.pddl,greedyResumeWalker, ,success,10536,experiment_1,10.0,1,0,90,22,106, ,10,0.02,0.01,24,1720.0,True,True,True,6,2,6
gripper,prob02.pddl,greedyResumeWalker, ,success,10536,experiment_1,19.0,1,0,106,26,142, ,19,0.01,0.01,34,1342.0,True,True,True,5,4,2
gripper,prob03.pddl,greedyResumeWalker, ,success,10536,experiment_1,28.0,1,0,174,43,273, ,28,0.02,0.01,44,1218.0,True,True,True,7,6,2
gripper,prob04.pddl,greedyResumeWalker, ,success,10668,experiment_1,37.0,1,0,222,55,400, ,37,0.02,0.01,54,1165.0,True,True,True,8,8,1
gripper,prob05.pddl,greedyResumeWalker, ,success,10804,experiment_1,43.0,1,0,270,67,564, ,43,0.04,0.01,64,1166.0,True,True,True,12,10,4
gripper,prob06.pddl,greedyResumeWalker, ,success,10928,experiment_1,52.0,1,0,318,79,737, ,52,0.03,0.01,74,1155.0,True,True,True,12,12,3
gripper,prob07.pddl,greedyResumeWalker, ,success,11060,experiment_1,59.0,1,0,374,93,960, ,59,0.02,0.01,84,1099.0,True,True,True,14,14,3
gripper,prob08.pddl,greedyResumeWalker, ,success,11312,experiment_1,67.0,1,0,394,98,1114, ,67,0.02,0.01,94,1082.0,True,True,True,17,16,2
gripper,prob09.pddl,greedyResumeWalker, ,success,11436,experiment_1,77.0,1,0,462,115,1410, ,77,0.02,0.01,104,1040.0,True,True,True,18,18,1
gripper,prob10.pddl,greedyResumeWalker, ,success,11576,experiment_1,81.0,1,0,494,123,1642, ,81,0.03,0.01,114,1092.0,True,True,True,20,19,5
gripper,prob11.pddl,greedyResumeWalker, ,success,11816,experiment_1,91.0,1,0,542,135,1928, ,91,0.04,0.01,124,1143.0,True,True,True,23,22,3
gripper,prob12.pddl,greedyResumeWalker, ,success,12088,experiment_1,101.0,1,0,606,151,2304, ,101,0.0305866,0.01,134,1128.0,True,True,True,24,24,1
gripper,prob13.pddl,greedyResumeWalker, ,success,12232,experiment_1,107.0,1,0,662,165,2688, ,107,0.025154799999999998,0.0120354,144,1128.0,True,True,True,28,26,3
gripper,prob14.pddl,greedyResumeWalker, ,success,12488,experiment_1,115.0,1,0,686,171,2954, ,115,0.03,0.01,154,1083.0,True,True,True,29,28,3
gripper,prob15.pddl,greedyResumeWalker, ,success,12716,experiment_1,125.0,1,0,750,187,3414, ,125,0.046045,0.016045,164,1110.0,True,True,True,30,30,1
gripper,prob16.pddl,greedyResumeWalker, ,success,13300,experiment_1,132.0,1,0,678,169,3773, ,132,0.028958900000000003,0.0159989,174,1069.0,True,True,True,2,1,1
gripper,prob17.pddl,greedyResumeWalker, ,success,13792,experiment_1,141.0,1,0,714,178,4171, ,141,0.03542,0.01542,184,1091.0,True,True,True,0,0,0
gripper,prob18.pddl,greedyResumeWalker, ,success,13992,experiment_1,149.0,1,0,894,223,4740, ,149,0.051571900000000004,0.019983,194,1171.0,True,True,True,36,36,1
gripper,prob19.pddl,greedyResumeWalker, ,success,14288,experiment_1,157.0,1,0,794,198,5115, ,157,0.0638531,0.0198906,204,1152.0,True,True,True,0,0,0
gripper,prob20.pddl,greedyResumeWalker, ,success,14484,experiment_1,163.0,1,0,822,205,5537, ,163,0.035181699999999996,0.0119816,214,1104.0,True,True,True,2,1,2
hanoi,pb1.pddl,greedyResumeWalker, ,success,10540,experiment_1,7.0,1,0,70,17,49, ,7,0.01,0.01,22,4542.0,True,True,True,0,0,0
hanoi,pb2.pddl,greedyResumeWalker, ,success,10672,experiment_1,15.0,1,0,150,37,110, ,15,0.02,0.01,30,6163.0,True,True,True,0,0,0
hanoi,pb3.pddl,greedyResumeWalker, ,success,10668,experiment_1,38.0,1,0,922,230,688, ,38,0.01,0.01,39,4247.0,True,True,True,0,0,0
hanoi,pb4.pddl,greedyResumeWalker, ,success,10800,experiment_1,70.0,1,0,1446,361,1082, ,70,0.0349416,0.0119998,49,4184.0,True,True,True,0,0,0
hanoi,pb5.pddl,greedyResumeWalker, ,success,11076,experiment_1,164.0,1,0,4362,1090,3269, ,164,0.053297899999999995,0.0319873,60,4844.0,True,True,True,0,0,0
hanoi,pb6.pddl,greedyResumeWalker, ,success,11616,experiment_1,314.0,1,0,12278,3069,9206, ,314,0.15196,0.11196,72,4899.0,True,True,True,0,0,0
logistics_easy,p01.pddl,greedyResumeWalker, ,success,14504,experiment_1,32.0,1,0,430,107,16192, ,32,0.1396283,0.0199922,559,1184.0,True,True,True,0,0,0
logistics_easy,p02.pddl,greedyResumeWalker, ,success,19364,experiment_1,53.0,1,0,1618,404,79921, ,53,0.2968478,0.0758793,1206,1309.0,True,True,True,0,0,0
