domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
driverlog_hard,p16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,702.0, , ,False, , , 
driverlog_hard,p18.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,591.0, , ,False, , , 
driverlog_hard,p19.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,637.0, , ,False, , , 
driverlog_hard,p20.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,616.0, , ,False, , , 
freecell_hard,p13.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1311.0, , ,False, , , 
freecell_hard,p15.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,995.0, , ,False, , , 
freecell_hard,p16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1031.0, , ,False, , , 
freecell_hard,p18.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,928.0, , ,False, , , 
freecell_hard,probfreecell-10-1.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,739.0, , ,False, , , 
freecell_hard,probfreecell-10-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1183.0, , ,False, , , 
freecell_hard,probfreecell-11-2.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,727.0, , ,False, , , 
freecell_hard,probfreecell-11-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,894.0, , ,False, , , 
freecell_hard,probfreecell-11-5.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,764.0, , ,False, , , 
freecell_hard,probfreecell-12-2.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,658.0, , ,False, , , 
freecell_hard,probfreecell-12-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,833.0, , ,False, , , 
freecell_hard,probfreecell-13-1.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,764.0, , ,False, , , 
freecell_hard,probfreecell-13-3.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,994.0, , ,False, , , 
freecell_hard,probfreecell-13-4.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,802.0, , ,False, , , 
freecell_hard,probfreecell-9-5.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,751.0, , ,False, , , 
logistics_hard,p05.pddl,greedyResumeWalker, ,success,64260,experiment_3,167.0,1,0,8962,2240,896348, ,167,4.70032,3.62376,5168,25216.0,True,True,True,0,0,0
logistics_hard,p06.pddl,greedyResumeWalker, ,success,109952,experiment_3,201.0,1,0,17606,4401,2148852, ,201,13.4154,11.8873,7192,30594.0,True,True,True,0,0,0
logistics_hard,p07.pddl,greedyResumeWalker, ,success,150608,experiment_3,230.0,1,0,23970,5992,3360123, ,230,23.096,20.812,9182,67625.0,True,True,True,0,0,0
logistics_hard,p08.pddl,greedyResumeWalker, ,success,187104,experiment_3,259.0,1,0,24998,6249,4101367, ,259,39.9542,35.7747,12434,86442.0,True,True,True,0,0,0
logistics_hard,p09.pddl,greedyResumeWalker, ,success,309892,experiment_3,307.0,1,0,49582,12395,9254598, ,307,44.3463,41.8425,15065,427343.0,True,True,True,0,0,0
satellite_hard,p28-HC-pfile8.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,2431.0, , ,False, , , 
satellite_hard,p29-HC-pfile9.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1345.0, , ,False, , , 
satellite_hard,p30-HC-pfile10.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1252.0, , ,False, , , 
satellite_hard,p31-HC-pfile11.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1441.0, , ,False, , , 
satellite_hard,p34-HC-pfile14.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,497.0, , ,False, , , 
satellite_hard,p35-HC-pfile15.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,538.0, , ,False, , , 
satellite_hard,p36-HC-pfile16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,911.0, , ,False, , , 
zenotravel_hard,p15.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,901.0, , ,False, , , 
zenotravel_hard,p16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,552.0, , ,False, , , 
