domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
driverlog_hard,p16.pddl,greedyResumeWalker, ,success,103052,experiment_3,163.0,1,0,637894,159473,3594036, ,163,37.9522,37.1743,500,141215.0,True,True,True,4,1,100
driverlog_hard,p18.pddl,greedyResumeWalker, ,success,31784,experiment_3,125.0,1,0,10614,2653,92190, ,125,2.03104,1.44389,850,9289.0,True,True,True,0,0,5
driverlog_hard,p19.pddl,greedyResumeWalker, ,success,69700,experiment_3,287.0,1,0,221806,55451,1602284, ,287,35.6189,33.5624,1050,134159.0,True,True,True,0,0,100
driverlog_hard,p20.pddl,greedyResumeWalker, ,success,48664,experiment_3,191.0,1,0,19682,4920,294921, ,191,5.79577,4.37978,1276,12865.0,True,True,True,0,0,1
freecell_hard,p13.pddl,greedyResumeWalker, ,success,67112,experiment_3,112.0,1,90,4220,1032,4687, ,112,8.20633,4.1237,369,18167.0,True,True,True,2,1,100
freecell_hard,p15.pddl,greedyResumeWalker, ,success,94312,experiment_3,90.0,1,22,4920,1224,7578, ,90,17.930039999999998,6.31569,407,54251.0,True,True,True,0,0,100
freecell_hard,p16.pddl,greedyResumeWalker, ,success,92840,experiment_3,84.0,1,2,1152,287,2050, ,84,3.67206,1.08395,407,14819.0,True,True,True,3,1,47
freecell_hard,p18.pddl,greedyResumeWalker, ,success,125720,experiment_3,123.0,1,10009,300679,72667,342957, ,123,655.586,559.656,446,1653260.0,True,True,True,0,0,100
freecell_hard,probfreecell-10-1.pddl,greedyResumeWalker, ,success,106796,experiment_3,88.0,1,8,1630,405,2570, ,88,6.379149999999999,1.97989,376,14198.0,True,True,True,11,2,99
freecell_hard,probfreecell-10-4.pddl,greedyResumeWalker, ,success,105428,experiment_3,75.0,1,2,2216,553,3879, ,75,6.96709,3.55983,375,18739.0,True,True,True,0,0,24
freecell_hard,probfreecell-11-2.pddl,greedyResumeWalker, ,success,112496,experiment_3,69.0,1,2,4416,1103,8077, ,69,13.34627,6.7236,411,43157.0,True,True,True,7,2,100
freecell_hard,probfreecell-11-4.pddl,greedyResumeWalker, ,success,115004,experiment_3,104.0,1,315,7993,1919,10136, ,104,22.4792,13.4874,411,55815.0,True,True,True,4,1,100
freecell_hard,probfreecell-11-5.pddl,greedyResumeWalker, ,success,115696,experiment_3,109.0,1,151,26601,6612,37327, ,109,76.4162,45.9761,412,402890.0,True,True,True,0,0,100
freecell_hard,probfreecell-12-2.pddl,greedyResumeWalker, ,success,117980,experiment_3,89.0,1,41,2183,535,3367, ,89,11.69771,2.87574,447,40629.0,True,True,True,4,1,100
freecell_hard,probfreecell-12-4.pddl,greedyResumeWalker, ,success,120052,experiment_3,122.0,1,89,4007,979,4831, ,122,17.54104,4.8798,448,48223.0,True,True,True,5,1,100
freecell_hard,probfreecell-13-1.pddl,greedyResumeWalker, ,success,128276,experiment_3,152.0,1,890,54540,13412,70257, ,152,200.754,141.636,484,516384.0,True,True,True,10,1,100
freecell_hard,probfreecell-13-3.pddl,greedyResumeWalker, ,success,124004,experiment_3,106.0,1,29,2211,545,3341, ,106,21.182199999999998,3.44784,483,127250.0,True,True,True,7,1,100
freecell_hard,probfreecell-13-4.pddl,greedyResumeWalker, ,success,128936,experiment_3,125.0,1,1242,31748,7626,36397, ,125,68.985,46.3259,483,165445.0,True,True,True,0,0,100
freecell_hard,probfreecell-9-5.pddl,greedyResumeWalker, ,success,101424,experiment_3,79.0,1,51,2229,544,4370, ,79,13.971430000000002,4.01578,340,46759.0,True,True,True,2,1,100
logistics_hard,p05.pddl,greedyResumeWalker, ,success,64260,experiment_3,167.0,1,0,8962,2240,896348, ,167,5.68754,3.83578,5168,12434.0,True,True,True,0,0,0
logistics_hard,p06.pddl,greedyResumeWalker, ,success,109952,experiment_3,201.0,1,0,17606,4401,2148852, ,201,13.9933,10.9913,7192,37013.0,True,True,True,0,0,0
logistics_hard,p07.pddl,greedyResumeWalker, ,success,150608,experiment_3,230.0,1,0,23970,5992,3360123, ,230,23.7451,19.2151,9182,46228.0,True,True,True,0,0,0
logistics_hard,p08.pddl,greedyResumeWalker, ,success,187104,experiment_3,259.0,1,0,24998,6249,4101367, ,259,48.979600000000005,43.6139,12434,123175.0,True,True,True,0,0,0
logistics_hard,p09.pddl,greedyResumeWalker, ,success,309892,experiment_3,307.0,1,0,49582,12395,9254598, ,307,78.45070000000001,73.3483,15065,152822.0,True,True,True,0,0,0
satellite_hard,p28-HC-pfile8.pddl,greedyResumeWalker, ,success,238780,experiment_3,220.0,1,0,6834,1708,1815277, ,220,9.021090000000001,4.13576,1352,31583.0,True,True,True,0,0,0
satellite_hard,p29-HC-pfile9.pddl,greedyResumeWalker, ,success,230744,experiment_3,190.0,1,0,1274,318,503796, ,190,8.49324,1.37592,1891,31399.0,True,True,True,0,0,0
satellite_hard,p30-HC-pfile10.pddl,greedyResumeWalker, ,success,379012,experiment_3,290.0,1,0,8786,2196,4150555, ,290,32.072900000000004,12.975,2245,105662.0,True,True,True,0,0,3
satellite_hard,p31-HC-pfile11.pddl,greedyResumeWalker, ,success,707532,experiment_3,275.0,1,0,1210,302,705832, ,275,22.23124,4.57167,2735,44505.0,True,True,True,0,0,1
satellite_hard,p34-HC-pfile14.pddl,greedyResumeWalker, ,success,736012,experiment_3,290.0,1,0,1162,290,297849, ,290,16.90776,2.18388,1343,39103.0,True,True,True,0,0,0
satellite_hard,p35-HC-pfile15.pddl,greedyResumeWalker, ,success,1050524,experiment_3,418.0,1,0,4766,1191,1960089, ,418,33.2011,14.9313,2088,106296.0,True,True,True,0,0,1
satellite_hard,p36-HC-pfile16.pddl,greedyResumeWalker, ,success,1066504,experiment_3,390.0,1,0,3190,797,1641753, ,390,45.8478,12.8273,2512,120539.0,True,True,True,0,0,1
zenotravel_hard,p15.pddl,greedyResumeWalker, ,success,20996,experiment_3,48.0,1,0,1602,400,13157, ,48,0.8637579999999999,0.119996,665,2080.0,True,True,True,0,0,8
zenotravel_hard,p16.pddl,greedyResumeWalker, ,success,24908,experiment_3,52.0,1,0,1118,279,29171, ,52,1.370182,0.0959954,745,2535.0,True,True,True,0,0,14
zenotravel_hard,p17.pddl,greedyResumeWalker, ,success,29596,experiment_3,94.0,1,0,3802,950,61036, ,94,4.02729,1.8519,1035,10926.0,True,True,True,3,1,22
zenotravel_hard,p18.pddl,greedyResumeWalker, ,success,33532,experiment_3,82.0,1,0,3426,856,38650, ,82,2.160212,0.755925,1135,3265.0,True,True,True,0,0,1
zenotravel_hard,p19.pddl,greedyResumeWalker, ,success,46928,experiment_3,96.0,1,0,2410,602,38507, ,96,2.607966,0.627976,760,3682.0,True,True,True,0,0,0
zenotravel_hard,p20.pddl,greedyResumeWalker, ,success,45904,experiment_3,108.0,1,0,6834,1708,124481, ,108,7.0512,3.26776,1605,13194.0,True,True,True,0,0,5
driverlog_hard,p16.pddl,greedyWalker, ,success,90268,experiment_3,166.0,1,0,540962,135240,3002468, ,166,22.184800000000003,21.7389,500,48399.0,True,True,True,3,1,10
driverlog_hard,p18.pddl,greedyWalker, ,success,33128,experiment_3,147.0,1,0,19850,4962,168210, ,147,3.56083,2.72384,825,10829.0,True,True,True,0,0,3
driverlog_hard,p19.pddl,greedyWalker, ,success,50464,experiment_3,283.0,1,0,83846,20961,610667, ,283,8.36285,7.73151,1050,34310.0,True,True,True,10,5,40
driverlog_hard,p20.pddl,greedyWalker, ,success,45908,experiment_3,152.0,1,0,9190,2297,127866, ,152,3.48014,2.73986,1276,10559.0,True,True,True,2,1,2
freecell_hard,p13.pddl,greedyWalker, ,success,66420,experiment_3,98.0,1,66,5128,1265,6317, ,98,12.605369999999999,3.52384,369,48358.0,True,True,True,9,1,100
freecell_hard,p15.pddl,greedyWalker, ,success,96728,experiment_3,93.0,1,39,6497,1614,10047, ,93,20.83018,6.9837,407,53958.0,True,True,True,4,1,100
freecell_hard,p16.pddl,greedyWalker, ,success,94636,experiment_3,89.0,1,32,4130,1024,5001, ,89,12.493500000000001,5.05972,407,48505.0,True,True,True,7,1,100
freecell_hard,p18.pddl,greedyWalker, ,success,112480,experiment_3,102.0,1,1897,44735,10709,51433, ,102,257.779,104.847,446,1242584.0,True,True,True,0,0,100
freecell_hard,probfreecell-10-1.pddl,greedyWalker, ,success,107976,experiment_3,73.0,1,3,1613,402,2326, ,73,13.85309,2.59187,376,44831.0,True,True,True,6,1,100
freecell_hard,probfreecell-10-4.pddl,greedyWalker, ,success,108332,experiment_3,83.0,1,16,4966,1237,7842, ,83,18.767400000000002,12.6034,375,57569.0,True,True,True,2,1,66
freecell_hard,probfreecell-11-2.pddl,greedyWalker, ,success,111892,experiment_3,64.0,1,3,2685,670,5254, ,64,8.44296,4.47974,411,16389.0,True,True,True,10,4,100
freecell_hard,probfreecell-11-4.pddl,greedyWalker, ,success,113428,experiment_3,98.0,1,73,4559,1121,6991, ,98,19.85174,5.49575,411,52636.0,True,True,True,5,1,100
freecell_hard,probfreecell-11-5.pddl,greedyWalker, ,success,115512,experiment_3,118.0,1,125,21039,5228,29282, ,118,80.7766,29.9346,412,407123.0,True,True,True,0,0,100
freecell_hard,probfreecell-12-2.pddl,greedyWalker, ,success,117304,experiment_3,86.0,1,10,2048,509,3209, ,86,10.64133,3.53983,447,39938.0,True,True,True,4,1,100
freecell_hard,probfreecell-12-4.pddl,greedyWalker, ,success,121460,experiment_3,141.0,1,394,19616,4805,19847, ,141,62.1536,34.4056,448,160638.0,True,True,True,8,1,100
freecell_hard,probfreecell-13-1.pddl,greedyWalker, ,success,128412,experiment_3,129.0,1,165,14279,3528,16385, ,129,63.0779,20.783,484,365975.0,True,True,True,8,1,100
freecell_hard,probfreecell-13-3.pddl,greedyWalker, ,success,124528,experiment_3,112.0,1,13,5331,1329,6813, ,112,32.91242,9.45153,483,132968.0,True,True,True,10,1,100
freecell_hard,probfreecell-13-4.pddl,greedyWalker, ,success,128892,experiment_3,141.0,1,142,12288,3036,13808, ,141,47.217,20.523,483,145268.0,True,True,True,10,1,100
freecell_hard,probfreecell-9-5.pddl,greedyWalker, ,success,101688,experiment_3,72.0,1,0,1222,305,2482, ,72,12.65517,1.04792,340,45640.0,True,True,True,2,1,100
logistics_hard,p05.pddl,greedyWalker, ,success,64260,experiment_3,167.0,1,0,8962,2240,896348, ,167,4.475099999999999,3.33975,5168,27019.0,True,True,True,0,0,0
logistics_hard,p06.pddl,greedyWalker, ,success,109952,experiment_3,201.0,1,0,17606,4401,2148852, ,201,10.485370000000001,8.81554,7192,32955.0,True,True,True,0,0,0
logistics_hard,p07.pddl,greedyWalker, ,success,150608,experiment_3,230.0,1,0,23970,5992,3360123, ,230,19.5981,17.2225,9182,43711.0,True,True,True,0,0,0
logistics_hard,p08.pddl,greedyWalker, ,success,187104,experiment_3,259.0,1,0,24998,6249,4101367, ,259,47.435900000000004,41.798,12434,120880.0,True,True,True,0,0,0
logistics_hard,p09.pddl,greedyWalker, ,success,309892,experiment_3,307.0,1,0,49582,12395,9254598, ,307,73.46549999999999,68.2912,15065,146641.0,True,True,True,0,0,0
satellite_hard,p28-HC-pfile8.pddl,greedyWalker, ,success,238780,experiment_3,220.0,1,0,6834,1708,1815277, ,220,10.23562,4.9997,1352,32926.0,True,True,True,0,0,0
satellite_hard,p29-HC-pfile9.pddl,greedyWalker, ,success,230744,experiment_3,190.0,1,0,1274,318,503796, ,190,14.28185,1.55591,1891,37112.0,True,True,True,0,0,0
