domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_medium,p09.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,1196.0, , ,False, , , 
depot_medium,p10.pddl,greedyResumeWalker, ,success,14224,experiment_2,45.0,1,0,4710,1177,18103, ,45,0.209997,0.111997,246,1052.0,True,True,True,2,1,4
depot_medium,p11.pddl,greedyResumeWalker,['Invalid paths was generated!'],success,24508,experiment_2, ,0, , , , , , , , ,356,4710.0, , ,False, , , 
depot_medium,p17.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,759.0, , ,False, , , 
depot_medium,p18.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,705.0, , ,False, , , 
depot_medium,p21.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,605.0, , ,False, , , 
freecell_medium,p08.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,988.0, , ,False, , , 
freecell_medium,p09.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,855.0, , ,False, , , 
freecell_medium,p10.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,963.0, , ,False, , , 
freecell_medium,p11.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,807.0, , ,False, , , 
freecell_medium,p12.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,872.0, , ,False, , , 
freecell_medium,p14.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_2, , , , , , , , , , , ,786.0, , ,False, , , 
