domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_medium,p09.pddl,greedyResumeWalker, ,success,28084,experiment_2,105.0,1,0,13354,3338,37756, ,105,2.88381,1.90382,489,18439.0,True,True,True,3,2,100
depot_medium,p10.pddl,greedyResumeWalker, ,success,14560,experiment_2,38.0,1,0,7210,1802,27220, ,38,0.573993,0.227994,246,2171.0,True,True,True,1,1,24
depot_medium,p11.pddl,greedyResumeWalker, ,success,19928,experiment_2,94.0,1,0,8234,2058,34909, ,94,1.169911,0.767909,418,3211.0,True,True,True,0,0,32
depot_medium,p17.pddl,greedyResumeWalker, ,success,21184,experiment_2,41.0,1,0,1054,263,7577, ,41,0.768019,0.151997,454,2556.0,True,True,True,0,0,53
depot_medium,p18.pddl,greedyResumeWalker, ,success,50784,experiment_2,82.0,1,0,3926,981,30826, ,82,2.26783,1.42789,663,3544.0,True,True,True,0,0,0
depot_medium,p21.pddl,greedyResumeWalker, ,success,67324,experiment_2,33.0,1,0,734,183,14882, ,33,2.156717,0.703898,792,3231.0,True,True,True,0,0,0
freecell_medium,p08.pddl,greedyResumeWalker, ,success,44188,experiment_2,56.0,1,8,546,134,747, ,56,4.656048999999999,0.215992,295,15087.0,True,True,True,8,1,100
freecell_medium,p09.pddl,greedyResumeWalker, ,success,44236,experiment_2,52.0,1,4,822,204,1276, ,52,7.950399999999999,0.355982,296,17795.0,True,True,True,10,1,100
freecell_medium,p10.pddl,greedyResumeWalker, ,success,53184,experiment_2,71.0,1,13,1519,376,2373, ,71,6.659,0.735922,332,17236.0,True,True,True,4,1,100
freecell_medium,p11.pddl,greedyResumeWalker, ,success,53508,experiment_2,79.0,1,72,3314,810,3767, ,79,6.91505,1.26396,334,16597.0,True,True,True,4,1,100
freecell_medium,p12.pddl,greedyResumeWalker, ,success,52392,experiment_2,51.0,1,9,627,154,988, ,51,7.225935,0.603977,332,16259.0,True,True,True,7,2,100
freecell_medium,p14.pddl,greedyResumeWalker, ,success,66332,experiment_2,77.0,1,18,1548,382,2455, ,77,2.5118869999999998,0.847892,369,3974.0,True,True,True,3,1,31
freecell_medium,p17.pddl,greedyResumeWalker, ,success,106528,experiment_2,85.0,1,5,1107,275,1577, ,85,8.42282,2.40791,443,18373.0,True,True,True,0,0,97
freecell_medium,probfreecell-10-2.pddl,greedyResumeWalker, ,success,105340,experiment_2,60.0,1,0,1034,258,2227, ,60,5.49144,1.03596,375,13994.0,True,True,True,0,0,87
freecell_medium,probfreecell-10-3.pddl,greedyResumeWalker, ,success,107536,experiment_2,63.0,1,1,1135,283,2368, ,63,8.05076,1.21595,374,16639.0,True,True,True,0,0,100
freecell_medium,probfreecell-10-5.pddl,greedyResumeWalker, ,success,108068,experiment_2,95.0,1,11,5089,1269,7830, ,95,17.687089999999998,6.63164,376,49031.0,True,True,True,0,0,100
freecell_medium,probfreecell-11-3.pddl,greedyResumeWalker, ,success,112748,experiment_2,83.0,1,12,1098,271,1939, ,83,16.45307,1.21196,411,49578.0,True,True,True,13,2,100
freecell_medium,probfreecell-12-3.pddl,greedyResumeWalker, ,success,117396,experiment_2,84.0,1,2,1252,312,2208, ,84,8.45465,2.01589,447,17196.0,True,True,True,6,1,100
