domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
depot_medium,p09.pddl,probeWalker, ,success,20952,experiment_1,123.0,1,0,9630,2407,31186, ,123,0.863174,0.699863,525,1387.0,True,True,True,0,0,8
depot_medium,p10.pddl,probeWalker, ,success,14508,experiment_1,40.0,1,0,7538,1884,35346, ,40,0.275262,0.175983,246,832.0,True,True,True,0,0,62
depot_medium,p11.pddl,probeWalker, ,success,27324,experiment_1,139.0,1,0,11258,2814,48470, ,139,1.3875000000000002,1.23196,356,4661.0,True,True,True,0,0,12
depot_medium,p17.pddl,probeWalker, ,success,21368,experiment_1,42.0,1,0,3266,816,22163, ,42,0.85983,0.427983,454,1396.0,True,True,True,0,0,4
depot_medium,p18.pddl,probeWalker, ,success,33616,experiment_1,70.0,1,0,2486,621,20507, ,70,0.899539,0.439993,724,4508.0,True,True,True,0,0,16
depot_medium,p21.pddl,probeWalker, ,success,67324,experiment_1,33.0,1,0,734,183,14882, ,33,1.089926,0.383918,792,1613.0,True,True,True,0,0,0
freecell_medium,p08.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,458.0, , ,False, , , 
freecell_medium,p09.pddl,probeWalker, ,success,42904,experiment_1,54.0,1,14,968,238,1178, ,54,1.565496,0.567983,296,2106.0,True,True,True,4,1,2
freecell_medium,p10.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,455.0, , ,False, , , 
freecell_medium,p11.pddl,probeWalker, ,success,51500,experiment_1,66.0,1,11,845,208,991, ,66,1.142284,0.387984,334,1664.0,True,True,True,3,1,2
freecell_medium,p12.pddl,probeWalker, ,success,51072,experiment_1,52.0,1,6,444,109,839, ,52,1.141015,0.195935,332,1674.0,True,True,True,2,1,30
freecell_medium,p14.pddl,probeWalker, ,success,65416,experiment_1,73.0,1,14,1132,279,1781, ,73,1.799752,0.68798,369,4774.0,True,True,True,3,1,9
freecell_medium,p17.pddl,probeWalker, ,success,107212,experiment_1,81.0,1,10,1532,380,2625, ,81,3.3264899999999997,1.70393,443,6231.0,True,True,True,6,1,4
freecell_medium,probfreecell-10-2.pddl,probeWalker, ,success, ,experiment_1, ,0, , , , , , , , , ,2852.0, , ,False, , , 
freecell_medium,probfreecell-10-3.pddl,probeWalker, ,success, ,experiment_1, ,0, , , , , , , , , ,2841.0, , ,False, , , 
freecell_medium,probfreecell-10-5.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,455.0, , ,False, , , 
freecell_medium,probfreecell-11-3.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,454.0, , ,False, , , 
freecell_medium,probfreecell-12-3.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,454.0, , ,False, , , 
freecell_medium,probfreecell-13-2.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,453.0, , ,False, , , 
freecell_medium,probfreecell-4-1.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,455.0, , ,False, , , 
freecell_medium,probfreecell-4-2.pddl,probeWalker, ,success, ,experiment_1, , , , , , , , , , , ,455.0, , ,False, , , 
